,alpha,performance,capacity
0,0.3,8.34740549863818,10.0
1,0.5,10.58787540869249,11.0
2,0.7,12.589812168159856,13.0
3,0.8,13.164976309237561,14.0
4,0.9,13.776787736883845,15.0
5,0.95,14.007821932902417,1.0
6,1.0,14.00231911582923,1.0
7,1.05,14.007359012748827,1.0
8,1.1,13.995421111295073,1.0
9,1.2,6.8116296909750655,8.0
10,1.3,6.011517329204258,7.0
11,1.4,5.586601816726813,7.0
12,1.5,5.624827617477884,6.0
13,2.0,2.907566596462103,4.0
14,2.5,2.37161231267108,4.0
15,3.0,2.9110128844336365,4.0
16,3.5,1.5539625545747238,3.0
