,alpha,performance,capacity
0,0.3,8.360022366131396,10.0
1,0.5,10.4703607055705,12.0
2,0.7,12.355617751501072,13.0
3,0.8,12.615101673924482,13.0
4,0.9,13.291806117355991,14.0
5,0.95,13.532375123843554,15.0
6,1.0,13.487597349347197,15.0
7,1.05,13.996027844924617,1.0
8,1.1,13.997705609365784,1.0
9,1.2,13.987611888294285,1.0
10,1.3,8.70240062623257,9.0
11,1.4,5.967364924699411,7.0
12,1.5,5.386138668734495,7.0
13,2.0,3.9652331006313695,5.0
14,2.5,2.5860228254876527,4.0
15,3.0,2.073776414156541,0.0
16,3.5,1.7046489040254456,0.0
