,alpha,performance,capacity
0,0.3,8.450977746723362,10.0
1,0.5,10.50547354616182,12.0
2,0.7,12.54983708643858,13.0
3,0.8,13.111665908203264,14.0
4,0.9,13.492313237369894,15.0
5,0.95,13.933476814785957,1.0
6,1.0,13.985127033575514,1.0
7,1.05,13.986267732360844,1.0
8,1.1,13.97844002217436,1.0
9,1.2,6.91075520561265,8.0
10,1.3,5.563557233877035,7.0
11,1.4,5.394502351016931,7.0
12,1.5,5.0492553369364925,6.0
13,2.0,3.288907434720447,4.0
14,2.5,2.281199149835411,3.0
15,3.0,2.3768419819963693,3.0
16,3.5,1.0750601679402303,0.0
