,alpha,performance,capacity
0,0.3,8.39291597527563,10.0
1,0.5,10.662922701836491,11.0
2,0.7,12.581174436864362,13.0
3,0.8,13.054442574506817,14.0
4,0.9,13.411822527727384,15.0
5,0.95,13.95857060325937,1.0
6,1.0,13.938641221536063,1.0
7,1.05,13.936992295533408,1.0
8,1.1,13.988435110214866,1.0
9,1.2,6.449514681370574,8.0
10,1.3,5.5376349392663045,7.0
11,1.4,5.219668811094289,6.0
12,1.5,4.342943759408098,5.0
13,2.0,2.976743500481159,4.0
14,2.5,1.8264485509098762,3.0
15,3.0,1.4991653835060814,3.0
16,3.5,1.4441672937785859,3.0
