,alpha,performance,capacity
0,0.3,8.211324756797667,10.0
1,0.5,9.44454076685227,11.0
2,0.7,11.670247722464559,12.0
3,0.8,12.54356401088217,13.0
4,0.9,12.989306577798592,13.0
5,0.95,13.10918769284229,14.0
6,1.0,13.553276172042539,15.0
7,1.05,13.496230271077922,15.0
8,1.1,13.94464903199595,1.0
9,1.2,13.982354289922679,1.0
10,1.3,13.979218413650083,1.0
11,1.4,6.448201914556936,8.0
12,1.5,5.676992273722413,7.0
13,2.0,4.419013152181169,5.0
14,2.5,2.745815932258528,4.0
15,3.0,2.6011116974666595,4.0
16,3.5,1.9354264826488816,3.0
