,alpha,performance,capacity
0,0.3,7.503031923960474,9.0
1,0.5,9.497435343245996,11.0
2,0.7,11.683633682870887,12.0
3,0.8,11.800038777885351,12.0
4,0.9,12.572506545814681,13.0
5,0.95,12.938304703328985,13.0
6,1.0,13.074605039325668,14.0
7,1.05,13.153904084491975,14.0
8,1.1,13.45639034178415,15.0
9,1.2,13.933660946687672,1.0
10,1.3,13.924405977859012,1.0
11,1.4,14.003761853144415,1.0
12,1.5,5.644999167382428,7.0
13,2.0,4.023984279918825,5.0
14,2.5,2.6506697032051023,4.0
15,3.0,2.0450159988098835,3.0
16,3.5,1.7251992446081903,3.0
