,alpha,performance,capacity
0,0.3,8.383992232861237,10.0
1,0.5,10.559087249731723,11.0
2,0.7,12.557396539585053,13.0
3,0.8,13.123802144044822,14.0
4,0.9,13.457654089356783,15.0
5,0.95,13.431402852070097,15.0
6,1.0,13.936822445890716,1.0
7,1.05,13.943836025448194,1.0
8,1.1,13.992783646524405,1.0
9,1.2,13.973194072703606,1.0
10,1.3,5.7926971649578665,7.0
11,1.4,5.516689575857706,7.0
12,1.5,5.423494404249226,7.0
13,2.0,3.7744097888031747,5.0
14,2.5,1.7453112533522885,3.0
15,3.0,1.394848581730988,3.0
16,3.5,1.5317424131164983,0.0
