,alpha,performance,capacity
0,0.3,8.289439143748991,10.0
1,0.5,10.473147644819427,11.0
2,0.7,12.545408321635708,13.0
3,0.8,13.079531182423052,14.0
4,0.9,13.368623271976963,14.0
5,0.95,13.418123492889316,15.0
6,1.0,13.674327326473954,15.0
7,1.05,13.926139353214758,1.0
8,1.1,13.94424408544467,1.0
9,1.2,13.99734735590689,1.0
10,1.3,5.243315418220165,7.0
11,1.4,5.328623486058234,7.0
12,1.5,4.477491152302408,6.0
13,2.0,3.4807207039607224,5.0
14,2.5,2.6092291696430694,4.0
15,3.0,2.3817535352423858,4.0
16,3.5,1.6950672199843395,3.0
