,alpha,performance,capacity
0,0.3,8.280276382300677,10.0
1,0.5,10.328880722802042,11.0
2,0.7,11.811555391561098,12.0
3,0.8,12.723584002188492,13.0
4,0.9,13.075608646827591,14.0
5,0.95,13.45819942421573,15.0
6,1.0,13.474881563909028,15.0
7,1.05,13.923559308338906,1.0
8,1.1,13.94801871889434,1.0
9,1.2,13.987195205262157,1.0
10,1.3,14.009335477905688,1.0
11,1.4,6.478927680861246,8.0
12,1.5,5.614022951945214,7.0
13,2.0,3.2476798590421634,4.0
14,2.5,1.8416233843610887,0.0
15,3.0,1.873163332143551,3.0
16,3.5,1.303052928262019,0.0
