,alpha,performance,capacity,method
141,0.95,5.885440728814398,5.0,rewire
142,1.0,4.39394429732048,5.0,rewire
143,1.05,2.1079101391045096,14.0,rewire
144,1.1,1.6728183638118093,3.0,rewire
145,1.2,1.1648013789035505,8.0,rewire
146,1.3,1.0354888538425642,0.0,rewire
147,1.4,0.9599058317361212,0.0,rewire
148,1.5,0.833290485511299,0.0,rewire
149,2.0,0.531440034336142,0.0,rewire
150,2.5,0.428175350380239,0.0,rewire
151,3.0,0.4647932482633591,0.0,rewire
152,3.5,0.4117168685129302,0.0,rewire
153,0.3,4.562120231132738,6.0,rewire
154,0.5,4.84153461919989,5.0,rewire
155,0.7,5.337900540758295,5.0,rewire
156,0.8,5.789250856744432,5.0,rewire
157,0.9,5.985758134385679,5.0,rewire
158,0.95,5.779680983421569,5.0,rewire
159,1.0,4.644879812871084,5.0,rewire
160,1.05,2.106231653102112,12.0,rewire
161,1.1,1.4452391635915949,3.0,rewire
162,1.2,1.14828611912789,8.0,rewire
163,1.3,1.0496757326450608,0.0,rewire
164,1.4,0.9891003115779142,0.0,rewire
165,1.5,0.8297764726794467,0.0,rewire
166,2.0,0.5345086024310534,0.0,rewire
167,2.5,0.458319109768691,0.0,rewire
168,3.0,0.4209922582463226,0.0,rewire
169,3.5,0.3708881162890736,0.0,rewire
170,0.3,4.53837418163965,6.0,rewire
171,0.5,4.820805253675105,5.0,rewire
172,0.7,5.334401010200332,5.0,rewire
173,0.8,5.757036558384352,5.0,rewire
174,0.9,6.1361153123950585,5.0,rewire
175,0.95,5.809474787363164,5.0,rewire
176,1.0,4.4720282410328105,5.0,rewire
177,1.05,2.086970591882781,8.0,rewire
178,1.1,1.223569561034942,13.0,rewire
179,1.2,1.1699349110013746,8.0,rewire
180,1.3,1.0307647295327351,0.0,rewire
181,1.4,0.973693580383072,0.0,rewire
182,1.5,0.8296401319138813,0.0,rewire
183,2.0,0.4116844030769669,0.0,rewire
184,2.5,0.4768314515339484,0.0,rewire
185,3.0,0.4284819205158972,0.0,rewire
186,3.5,0.3819935395502142,0.0,rewire
187,0.3,4.556256435825153,6.0,rewire
188,0.5,4.84012377363211,5.0,rewire
189,0.7,5.361948791318657,5.0,rewire
190,0.8,5.8106924694917526,5.0,rewire
191,0.9,6.487035418075396,5.0,rewire
192,0.95,5.822295451787191,5.0,rewire
193,1.0,4.61760211708641,5.0,rewire
194,1.05,2.1136135230013195,14.0,rewire
195,1.1,1.265778876516175,3.0,rewire
196,1.2,1.1646738720841594,8.0,rewire
197,1.3,1.0674374786706406,0.0,rewire
198,1.4,1.0028920275209108,0.0,rewire
199,1.5,0.8301280083863782,0.0,rewire
200,2.0,0.5452814296426454,0.0,rewire
201,2.5,0.4770800906071564,0.0,rewire
202,3.0,0.334040997032113,0.0,rewire
203,3.5,0.3743022260048868,0.0,rewire
204,0.3,4.538921969101914,6.0,rewire
205,0.5,4.8334511801659685,5.0,rewire
206,0.7,5.377879766596698,5.0,rewire
207,0.8,6.162415550598894,6.0,rewire
208,0.9,6.738865849128022,6.0,rewire
209,0.95,6.507430454425277,6.0,rewire
210,1.0,4.417735210357682,5.0,rewire
211,1.05,1.323307222927205,3.0,rewire
212,1.1,1.2236888863556166,4.0,rewire
213,1.2,1.1710223683876264,8.0,rewire
214,1.3,1.0382511553104776,0.0,rewire
215,1.4,0.9718091846765348,0.0,rewire
216,1.5,0.8257909022423127,0.0,rewire
217,2.0,0.543486221953772,0.0,rewire
218,2.5,0.4425325092414305,0.0,rewire
219,3.0,0.3971928018923679,0.0,rewire
220,3.5,0.3214790171436421,0.0,rewire
221,0.3,4.54192341746687,6.0,rewire
222,0.5,4.832019788161808,5.0,rewire
223,0.7,5.428724052803641,5.0,rewire
224,0.8,5.894771727799306,5.0,rewire
225,0.9,6.340424608632374,5.0,rewire
226,0.95,6.018448395264228,5.0,rewire
227,1.0,4.55603369998168,5.0,rewire
228,1.05,2.108392276454438,14.0,rewire
229,1.1,1.395444489653615,3.0,rewire
230,1.2,1.1491281590615043,8.0,rewire
231,1.3,1.063035492562712,0.0,rewire
232,1.4,0.9870727496470512,0.0,rewire
233,1.5,0.8304442775369497,0.0,rewire
234,2.0,0.4989448158108601,0.0,rewire
235,2.5,0.4697448755616363,0.0,rewire
236,3.0,0.4681152987497617,0.0,rewire
237,3.5,0.3909759828143486,0.0,rewire
238,0.3,4.531504920406716,6.0,rewire
239,0.5,4.835367946082832,5.0,rewire
240,0.7,5.350169745577866,5.0,rewire
241,0.8,5.724550250895929,5.0,rewire
242,0.9,6.062662824993491,5.0,rewire
243,0.95,5.9773805679199015,5.0,rewire
244,1.0,4.398152283310207,5.0,rewire
245,1.05,1.5613054288173174,3.0,rewire
246,1.1,1.4625077618866145,3.0,rewire
247,1.2,1.1556773935612008,3.0,rewire
