,alpha,performance,capacity
0,0.3,7.294032894976218,9.0
1,0.5,9.112483260842396,10.0
2,0.7,10.262733204412116,12.0
3,0.8,11.305533677308107,13.0
4,0.9,12.210159315926443,13.0
5,0.95,12.333972532815112,14.0
6,1.0,12.371890706447944,14.0
7,1.05,13.15234933069918,15.0
8,1.1,13.195118600323958,15.0
9,1.2,13.864756287798322,15.0
10,1.3,13.852526365821452,15.0
11,1.4,13.98872689576827,1.0
12,1.5,13.993278026325669,1.0
13,2.0,4.2681931301342715,5.0
14,2.5,2.932519832923719,4.0
15,3.0,1.4685197908190086,4.0
16,3.5,1.4402520825388776,4.0
