,alpha,performance,capacity
0,0.3,7.215677722427558,9.0
1,0.5,9.296745380884543,11.0
2,0.7,10.521598498354631,12.0
3,0.8,11.55496956205871,13.0
4,0.9,12.105232688265415,13.0
5,0.95,12.510403732926404,13.0
6,1.0,12.592059713365646,13.0
7,1.05,13.00141602451373,13.0
8,1.1,13.162721048438394,14.0
9,1.2,13.384451459578168,15.0
10,1.3,13.585750958000293,15.0
11,1.4,13.929758836981765,1.0
12,1.5,13.892142822618842,1.0
13,2.0,5.9939165566243595,7.0
14,2.5,5.201363896434341,6.0
15,3.0,3.668803699093873,4.0
16,3.5,2.9869027255140193,4.0
