,alpha,performance,capacity
0,0.3,7.250531468754217,9.0
1,0.5,9.383184764524737,11.0
2,0.7,10.624904611396394,11.0
3,0.8,11.459837068883035,12.0
4,0.9,12.081899156582349,12.0
5,0.95,12.543943676332205,13.0
6,1.0,12.557242926375237,13.0
7,1.05,12.773450337607315,13.0
8,1.1,13.126138401335364,14.0
9,1.2,13.608384208049662,15.0
10,1.3,13.800395876398545,15.0
11,1.4,13.963251093572437,1.0
12,1.5,13.964910277033308,1.0
13,2.0,5.396408061144864,8.0
14,2.5,4.758730502636076,6.0
15,3.0,3.7295011000621194,5.0
16,3.5,3.2845500242748913,4.0
