,alpha,performance,capacity
0,0.3,7.2606937921193015,9.0
1,0.5,8.41712703307539,10.0
2,0.7,9.729936593928057,11.0
3,0.8,10.710056205432737,11.0
4,0.9,11.654010657768362,12.0
5,0.95,11.744638539050976,12.0
6,1.0,12.000785908270698,12.0
7,1.05,12.526953593889134,13.0
8,1.1,12.60120452343146,13.0
9,1.2,13.075107135047555,14.0
10,1.3,13.41690574185717,15.0
11,1.4,13.461427364234707,15.0
12,1.5,13.93530768707362,1.0
13,2.0,5.578178179138178,7.0
14,2.5,5.1351455504585894,6.0
15,3.0,4.62738224525631,5.0
16,3.5,3.497513661291847,5.0
