,alpha,performance,capacity
0,0.3,7.218766616041535,9.0
1,0.5,8.676404869063123,10.0
2,0.7,10.619861922519416,11.0
3,0.8,11.028039895121312,11.0
4,0.9,11.731419554714382,12.0
5,0.95,11.810044160689243,12.0
6,1.0,12.461959261335682,13.0
7,1.05,12.546676155931062,13.0
8,1.1,12.79418017663523,13.0
9,1.2,13.061702973564058,14.0
10,1.3,13.454726865727089,15.0
11,1.4,13.38453543394221,15.0
12,1.5,13.893110757350401,1.0
13,2.0,6.9643930956695606,8.0
14,2.5,5.4692719312545846,7.0
15,3.0,4.574057896016366,6.0
16,3.5,4.317250566030202,4.0
