,alpha,performance,capacity
0,0.3,7.1709036373672905,9.0
1,0.5,8.376548721905966,10.0
2,0.7,10.577958408983084,11.0
3,0.8,11.734887454255974,12.0
4,0.9,11.80947947220863,12.0
5,0.95,12.520196366209356,13.0
6,1.0,12.596656727782575,13.0
7,1.05,12.579640828918699,13.0
8,1.1,13.082281715564893,14.0
9,1.2,13.03009067886044,14.0
10,1.3,13.460814780574545,15.0
11,1.4,13.936415732818807,1.0
12,1.5,13.966989343706432,1.0
13,2.0,6.488050488892425,7.0
14,2.5,4.583489400852306,6.0
15,3.0,3.871885598608327,4.0
16,3.5,3.291719112259904,5.0
