,alpha,performance,capacity
0,0.3,7.172076352570694,9.0
1,0.5,8.346665649327962,10.0
2,0.7,9.927141950840419,11.0
3,0.8,10.680722881065424,11.0
4,0.9,11.689103004239438,12.0
5,0.95,11.7845089613563,12.0
6,1.0,11.87406589737288,12.0
7,1.05,12.511125066575378,13.0
8,1.1,12.572349096488889,13.0
9,1.2,13.17000193517708,14.0
10,1.3,13.337504110261149,14.0
11,1.4,13.5276668874973,15.0
12,1.5,13.962335397174323,1.0
13,2.0,6.533923854815932,9.0
14,2.5,5.541928140174024,7.0
15,3.0,4.537485120585673,5.0
16,3.5,3.8769127329637696,5.0
