,alpha,performance,capacity
0,0.3,7.196585871297409,9.0
1,0.5,8.57734367896584,10.0
2,0.7,10.547876859564713,11.0
3,0.8,10.758846685806075,11.0
4,0.9,11.75727504771272,12.0
5,0.95,11.867672818736766,12.0
6,1.0,12.532414238772136,13.0
7,1.05,12.541256624760104,13.0
8,1.1,12.576219678096834,13.0
9,1.2,13.106278705285511,14.0
10,1.3,13.521843763587409,15.0
11,1.4,13.485278537973674,15.0
12,1.5,13.936604939591302,1.0
13,2.0,6.434477702274176,8.0
14,2.5,5.528075047919979,7.0
15,3.0,4.683677960371873,5.0
16,3.5,4.369789317166811,5.0
