,alpha,performance,capacity
0,0.3,7.202257738136676,9.0
1,0.5,8.403884847591769,10.0
2,0.7,9.548163780863163,11.0
3,0.8,10.685465261688849,11.0
4,0.9,10.855825695117094,11.0
5,0.95,11.303461201996514,13.0
6,1.0,11.783600608699563,12.0
7,1.05,11.83136147146265,12.0
8,1.1,11.858920607480378,12.0
9,1.2,12.55646387622705,13.0
10,1.3,13.029179559566549,14.0
11,1.4,12.988595340864684,14.0
12,1.5,13.463137877953946,15.0
13,2.0,13.848372650731083,15.0
14,2.5,5.67349000970171,7.0
15,3.0,4.250118710515178,5.0
16,3.5,3.8135490239623597,4.0
