,alpha,performance,capacity
0,0.3,7.150899210876926,9.0
1,0.5,8.336431154856717,10.0
2,0.7,9.99620064761217,11.0
3,0.8,10.553520754524975,12.0
4,0.9,11.565171510756468,13.0
5,0.95,11.621718654070383,13.0
6,1.0,12.47695178708133,13.0
7,1.05,12.503998001449867,13.0
8,1.1,12.500561438193408,13.0
9,1.2,13.213569038756457,14.0
10,1.3,13.7169848579527,15.0
11,1.4,13.932033935942249,1.0
12,1.5,13.95929396932326,1.0
13,2.0,2.9970911224229364,4.0
14,2.5,2.37078311885595,3.0
15,3.0,1.4470111821639748,0.0
16,3.5,0.8247967664609931,0.0
