,alpha,performance,capacity
0,0.3,7.0828663509222745,15.0
1,0.5,8.179270746062075,10.0
2,0.7,9.215380787890014,11.0
3,0.8,10.28153130723758,12.0
4,0.9,11.360598557940593,13.0
5,0.95,11.346891812820047,13.0
6,1.0,11.935388039014699,13.0
7,1.05,12.357549576073298,13.0
8,1.1,12.33123110529965,13.0
9,1.2,13.120442568921037,14.0
10,1.3,13.255853718824103,14.0
11,1.4,13.842594881580675,15.0
12,1.5,13.919780072595875,1.0
13,2.0,14.011134830054166,1.0
14,2.5,3.06409376982315,4.0
15,3.0,2.2595734776570437,3.0
16,3.5,1.307916403578134,0.0
