,alpha,performance,capacity
0,0.3,8.427986309149793,10.0
1,0.5,10.614058620577348,11.0
2,0.7,12.584768003711142,13.0
3,0.8,13.139458653370331,14.0
4,0.9,13.514159615604422,15.0
5,0.95,13.995435004968616,1.0
6,1.0,13.98894253862072,1.0
7,1.05,13.98764920795056,1.0
8,1.1,13.969537288289608,1.0
9,1.2,6.228936579421482,7.0
10,1.3,5.420913183264486,7.0
11,1.4,4.886689031808608,6.0
12,1.5,4.391204966738474,6.0
13,2.0,2.4091097489438127,4.0
14,2.5,1.4721281471879566,0.0
15,3.0,0.5048066057648585,0.0
16,3.5,0.32063491446778375,0.0
