,alpha,performance,capacity
0,0.3,6.246555659803592,9.0
1,0.5,8.249187265960428,10.0
2,0.7,9.038766959675765,10.0
3,0.8,9.615748144218735,11.0
4,0.9,10.146905503161634,11.0
5,0.95,10.93150050921102,12.0
6,1.0,11.193881338207401,12.0
7,1.05,11.532797034870184,13.0
8,1.1,12.149262434883436,13.0
9,1.2,12.331801629541296,13.0
10,1.3,12.609922951987135,14.0
11,1.4,13.67705112107169,13.0
12,1.5,13.856021514277682,15.0
13,2.0,3.1889493745173683,5.0
14,2.5,2.576428586355751,4.0
15,3.0,2.4625794574905253,4.0
16,3.5,2.1102428137640135,3.0
