,alpha,performance,capacity
0,0.3,7.237580171326813,9.0
1,0.5,9.224387721922955,11.0
2,0.7,10.283294796581258,12.0
3,0.8,11.335265759086562,13.0
4,0.9,11.538161653420174,13.0
5,0.95,12.470145692699873,14.0
6,1.0,12.468562972172048,13.0
7,1.05,13.250922795618425,14.0
8,1.1,13.283784947853913,14.0
9,1.2,13.902327460540429,15.0
10,1.3,13.877549584148825,15.0
11,1.4,14.009549185580683,1.0
12,1.5,14.03512291297108,1.0
13,2.0,4.301107990130852,6.0
14,2.5,2.813845215999466,4.0
15,3.0,1.544023870370304,0.0
16,3.5,0.542125682933361,0.0
