,alpha,performance,capacity
0,0.3,6.610361532384474,8.0
1,0.5,8.189989799383644,10.0
2,0.7,9.349132959547426,11.0
3,0.8,10.218979834205703,11.0
4,0.9,10.425448790824381,12.0
5,0.95,11.303753589768398,12.0
6,1.0,11.505857715143087,12.0
7,1.05,11.688871414035166,12.0
8,1.1,12.347805186733313,13.0
9,1.2,12.1427927762899,13.0
10,1.3,12.561304932603658,13.0
11,1.4,12.795589643582211,14.0
12,1.5,13.717167772933157,15.0
13,2.0,10.194806294862857,11.0
14,2.5,7.262366520830479,8.0
15,3.0,4.951861812049032,6.0
16,3.5,3.823211742909574,5.0
