,alpha,performance,capacity
0,0.3,6.307922679566305,8.0
1,0.5,7.52139792739496,9.0
2,0.7,8.849788292200817,9.0
3,0.8,9.950503261403348,10.0
4,0.9,10.100661125656037,10.0
5,0.95,10.129512874391278,10.0
6,1.0,10.683017278900051,11.0
7,1.05,10.386887205964735,10.0
8,1.1,10.188659324456077,11.0
9,1.2,5.72401593253117,7.0
10,1.3,4.870028226197601,5.0
11,1.4,4.130646227477639,5.0
12,1.5,3.79927012520301,5.0
13,2.0,3.112113484749343,4.0
14,2.5,2.1144201613854903,3.0
15,3.0,1.481678484584872,3.0
16,3.5,1.429519304238934,3.0
