,alpha,performance,capacity
0,0.3,7.093012906862233,9.0
1,0.5,8.28072464348269,10.0
2,0.7,10.141888480493074,11.0
3,0.8,10.292201818833504,12.0
4,0.9,11.265152940830456,12.0
5,0.95,11.418539171237766,13.0
6,1.0,12.294519943899745,13.0
7,1.05,12.433537214595983,14.0
8,1.1,12.709253431998528,14.0
9,1.2,12.536018727680295,15.0
10,1.3,12.953125942843124,15.0
11,1.4,13.505786103186056,15.0
12,1.5,13.9450446900348,1.0
13,2.0,13.963876037371515,1.0
14,2.5,8.886382146653753,9.0
15,3.0,5.018884285804549,5.0
16,3.5,2.9013790394392074,0.0
