,alpha,performance,capacity
0,0.3,0.22170774612898525,8.0
1,0.5,0.2561596297864544,9.0
2,0.7,0.2912005213476667,8.0
3,0.8,0.3076916277101855,9.0
4,0.9,0.32632295515365134,9.0
5,0.95,0.3366450132986123,11.0
6,1.0,0.3518475391425914,10.0
7,1.05,0.3525145555160255,10.0
8,1.1,0.3619988518637092,11.0
9,1.2,0.3714590086896678,7.0
10,1.3,0.3872119575497122,10.0
11,1.4,0.3884944543540182,10.0
12,1.5,0.39504090626729566,12.0
13,2.0,0.3778934715063451,9.0
14,2.5,0.14243607633472283,0.0
15,3.0,0.022839801026730888,0.0
16,3.5,0.00989183062124841,0.0
