,alpha,performance,capacity
0,0.3,2.5790714066454004,4.0
1,0.5,2.7662424290212253,3.0
2,0.7,3.008260884384881,4.0
3,0.8,3.172271699861158,4.0
4,0.9,3.3951964365489107,4.0
5,0.95,3.6126877360946543,4.0
6,1.0,3.8127964640657055,4.0
7,1.05,4.013270930895544,0.0
8,1.1,4.181226923992981,0.0
9,1.2,3.9528459039939357,0.0
10,1.3,2.0891542202200903,0.0
11,1.4,1.2591875997256052,0.0
12,1.5,1.0335851611280638,0.0
13,2.0,0.34856295174813157,0.0
14,2.5,0.32608576727164235,0.0
15,3.0,0.30256171117658737,0.0
16,3.5,0.30883024453759633,0.0
