,alpha,performance,capacity
0,0.3,7.1051646776806745,9.0
1,0.5,8.273631856847734,10.0
2,0.7,10.314395513419727,12.0
3,0.8,10.76705929938978,12.0
4,0.9,11.611764552560691,12.0
5,0.95,12.3339850788496,13.0
6,1.0,12.57758296609019,13.0
7,1.05,12.610759575610475,13.0
8,1.1,12.704297731451932,13.0
9,1.2,13.028805704157152,14.0
10,1.3,13.401871894758932,15.0
11,1.4,13.351740791939308,15.0
12,1.5,13.914347297422289,1.0
13,2.0,5.671120508733851,7.0
14,2.5,5.262227815467038,6.0
15,3.0,4.668819502123638,5.0
16,3.5,4.453929866829376,5.0
