,alpha,performance,capacity
0,0.3,7.164948360799541,9.0
1,0.5,8.317905489687409,10.0
2,0.7,10.564348113362072,11.0
3,0.8,11.03934144738229,11.0
4,0.9,11.823985756948195,12.0
5,0.95,11.940743495349091,12.0
6,1.0,12.5827127606654,13.0
7,1.05,12.583727010861999,13.0
8,1.1,13.042156424234301,14.0
9,1.2,12.979306834728604,14.0
10,1.3,13.413816562697049,15.0
11,1.4,13.323544163878942,15.0
12,1.5,13.85911832420126,15.0
13,2.0,5.536035086226008,6.0
14,2.5,4.719073422641191,6.0
15,3.0,3.0582386433625017,4.0
16,3.5,3.285483604320642,4.0
