,alpha,performance,capacity
0,0.3,7.214282668726609,9.0
1,0.5,9.14065333831752,10.0
2,0.7,10.587746977469207,11.0
3,0.8,11.740404110222721,12.0
4,0.9,12.476766534491972,13.0
5,0.95,12.594709802945042,13.0
6,1.0,12.599527578595882,13.0
7,1.05,13.1178969273751,14.0
8,1.1,13.071209162870947,14.0
9,1.2,13.448878094738113,15.0
10,1.3,13.395460466974898,15.0
11,1.4,13.95617870665932,1.0
12,1.5,13.981980076501879,1.0
13,2.0,5.564123463867696,6.0
14,2.5,3.5659792627026277,4.0
15,3.0,3.1917707724399027,5.0
16,3.5,2.962005287704071,5.0
