,alpha,performance,capacity
0,0.3,7.033519882996911,8.0
1,0.5,8.20632114107646,10.0
2,0.7,9.420232738729778,11.0
3,0.8,10.573782763193162,11.0
4,0.9,11.686334201829885,12.0
5,0.95,11.731419911517037,12.0
6,1.0,11.943761372303518,12.0
7,1.05,12.562176698338236,13.0
8,1.1,12.589238751952545,13.0
9,1.2,13.104140461096748,14.0
10,1.3,13.494889410272144,15.0
11,1.4,13.433170193496743,15.0
12,1.5,13.911231409951782,1.0
13,2.0,6.094270930103801,7.0
14,2.5,4.6932003943506055,6.0
15,3.0,4.603915496945021,5.0
16,3.5,3.78350242929164,4.0
