,alpha,performance,capacity
0,0.3,7.247432678955887,9.0
1,0.5,9.386160679742217,11.0
2,0.7,11.490163549109383,12.0
3,0.8,11.66172506535641,12.0
4,0.9,12.564803605070576,13.0
5,0.95,12.640556397797296,13.0
6,1.0,13.186120825388521,14.0
7,1.05,13.157973515345637,14.0
8,1.1,13.209435799105192,14.0
9,1.2,13.554664402500045,15.0
10,1.3,13.984705636585863,1.0
11,1.4,13.977380616837507,1.0
12,1.5,13.96156121062917,1.0
13,2.0,5.563448618327214,7.0
14,2.5,4.733531981033941,5.0
15,3.0,4.325558398153028,5.0
16,3.5,3.595030312417272,5.0
