,alpha,performance,capacity
0,0.3,7.175852655530208,9.0
1,0.5,8.324313492746164,10.0
2,0.7,10.35780204671228,11.0
3,0.8,10.69827394250448,11.0
4,0.9,11.715801890559057,12.0
5,0.95,11.76774430101809,12.0
6,1.0,12.385608309662913,12.0
7,1.05,12.562402333354893,13.0
8,1.1,12.584207841256173,13.0
9,1.2,13.126104476661792,14.0
10,1.3,13.044284270905681,14.0
11,1.4,13.536457391476699,15.0
12,1.5,13.456128572335086,15.0
13,2.0,6.655306055755844,8.0
14,2.5,5.631347991557245,6.0
15,3.0,4.249267518735331,5.0
16,3.5,3.6570396763995197,4.0
