,alpha,performance,capacity
0,0.3,7.139202793605515,9.0
1,0.5,8.282220727614787,10.0
2,0.7,10.57058705349746,11.0
3,0.8,11.569496304413963,12.0
4,0.9,11.915882670707845,13.0
5,0.95,12.565895945729553,13.0
6,1.0,12.576647852376418,13.0
7,1.05,12.558525752112232,13.0
8,1.1,13.141178191068937,14.0
9,1.2,13.528758216205762,15.0
10,1.3,13.488686823813786,15.0
11,1.4,13.514098203592658,15.0
12,1.5,13.931040117040911,1.0
13,2.0,5.0689908574052165,6.0
14,2.5,4.609932210021855,6.0
15,3.0,4.1401900626789745,5.0
16,3.5,3.5487070902512485,5.0
