,alpha,performance,capacity
0,0.3,7.138070678051687,9.0
1,0.5,8.24221719060171,10.0
2,0.7,10.131699304705663,13.0
3,0.8,10.50153644973008,12.0
4,0.9,11.648392832603824,12.0
5,0.95,11.687206324653527,12.0
6,1.0,12.547280117813592,13.0
7,1.05,12.589907441255294,13.0
8,1.1,12.579823814047764,13.0
9,1.2,13.065197361268133,14.0
10,1.3,13.452999783584517,15.0
11,1.4,13.389530097390612,15.0
12,1.5,13.903730816133708,1.0
13,2.0,6.2765623882869965,7.0
14,2.5,5.559995185240793,6.0
15,3.0,4.078109886456744,5.0
16,3.5,3.0170279751824394,5.0
